town,traffic,weather,start,target,route_completion,lights_ran,duration
Town01,0,1,78,225,27.84,0,57.75
Town01,0,3,78,225,13.23,0,27.1
Town01,0,6,78,225,30.97,0,59.3
Town01,0,8,78,225,27.84,0,59.0
Town01,0,1,103,21,30.45,1,43.2
Town01,0,3,103,21,26.06,1,40.65
Town01,0,6,103,21,22.44,0,35.85
Town01,0,8,103,21,16.46,0,205.45
Town01,0,1,127,87,31.99,0,250.1
Town01,0,3,127,87,35.42,0,76.1
Town01,0,6,127,87,2.34,0,8.25
Town01,0,8,127,87,35.42,0,76.1
Town01,0,1,19,103,35.47,1,52.3
Town01,0,3,19,103,35.47,1,52.0
Town01,0,6,19,103,35.62,1,52.25
Town01,0,8,19,103,38.08,1,57.05
Town01,0,1,230,210,70.25,0,70.95
Town01,0,3,230,210,100.0,0,38.6
Town01,0,6,230,210,70.25,0,25.6
Town01,0,8,230,210,7.35,0,6.0
Town01,0,1,250,190,26.4,1,29.9
Town01,0,3,250,190,26.4,1,30.5
Town01,0,6,250,190,21.53,0,24.05
Town01,0,8,250,190,26.4,1,226.9
Town01,0,1,220,118,29.33,0,36.0
Town01,0,3,220,118,29.49,0,66.5
Town01,0,6,220,118,29.49,0,36.85
Town01,0,8,220,118,34.24,0,57.15
Town01,0,1,200,224,10.1,1,18.8
Town01,0,3,200,224,35.65,2,59.25
Town01,0,6,200,224,14.89,1,24.3
Town01,0,8,200,224,1.63,0,5.45
Town01,0,1,11,17,5.85,0,5.7
Town01,0,3,11,17,6.63,0,7.5
Town01,0,6,11,17,5.08,0,6.2
Town01,0,8,11,17,42.43,1,28.6
Town01,0,1,78,245,48.35,0,57.65
Town01,0,3,78,245,22.98,0,26.75
Town01,0,6,78,245,53.8,0,59.5
Town01,0,8,78,245,48.35,0,59.0
Town01,0,1,3,175,11.05,1,13.0
Town01,0,3,3,175,11.05,1,13.45
Town01,0,6,3,175,6.35,0,10.1
Town01,0,8,3,175,7.2,1,190.05
Town01,0,1,92,112,15.33,0,28.25
Town01,0,3,92,112,9.66,0,251.65
Town01,0,6,92,112,5.02,0,11.25
Town01,0,8,92,112,10.88,0,202.1
Town01,0,1,233,238,5.19,0,8.75
Town01,0,3,233,238,3.23,0,8.55
Town01,0,6,233,238,2.75,0,7.8
Town01,0,8,233,238,5.19,0,50.15
Town01,0,1,4,54,91.5,3,359.0
Town01,0,3,4,54,84.21,1,97.15
Town01,0,6,4,54,12.07,0,15.9
Town01,0,8,4,54,77.99,1,269.15
Town01,0,1,17,205,2.08,1,247.35
Town01,0,3,17,205,2.19,1,246.4
Town01,0,6,17,205,2.47,0,7.35
Town01,0,8,17,205,2.19,0,7.6
