town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,26.85,0,232.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,26.76,0,103.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,78,225,0.0,0,0.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,78,225,73.43,3,143.35,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,103,21,100.0,3,139.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,103,21,3.01,0,6.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,103,21,0.0,0,0.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,103,21,100.0,3,139.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,127,87,100.0,1,212.5,59.31,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,127,87,49.17,0,106.55,72.25,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,127,87,100.0,1,212.85,60.53,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,127,87,100.0,1,212.6,25.71,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,19,103,100.0,6,143.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,19,103,69.83,4,113.6,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,19,103,69.83,4,110.25,0.0,SUCCESS,SUCCESS,SUCCESS,FAILURE,SUCCESS
