town,traffic,weather,start,target,route_completion,lights_ran,duration
Town01,0,1,78,225,0.0,0,0.05
Town02,0,10,66,19,84.12,2,287.7
Town02,0,14,66,19,38.46,1,233.6
Town02,0,10,6,71,95.04,5,97.1
Town02,0,14,6,71,100.0,5,103.9
Town02,0,10,66,28,71.12,3,287.75
Town01,0,3,78,225,0.0,0,213.2
Town02,0,14,66,28,32.45,1,233.45
Town01,0,6,78,225,0.0,0,0.05
Town01,0,8,78,225,0.0,0,0.05
Town01,0,1,103,21,0.0,0,0.05
Town01,0,3,103,21,0.0,0,0.05
Town02,0,10,46,32,38.62,1,158.05
Town01,0,6,103,21,0.0,0,0.05
Town01,0,8,103,21,0.0,0,0.05
Town02,0,14,46,32,40.46,1,106.9
Town01,0,1,127,87,0.0,0,0.05
Town02,0,10,25,59,27.6,0,23.95
Town01,0,3,127,87,0.0,0,0.05
Town02,0,14,25,59,27.11,0,24.85
Town01,0,6,127,87,0.0,0,0.05
Town01,0,8,127,87,0.0,0,0.05
Town01,0,1,19,103,0.0,0,0.05
Town02,0,10,32,9,71.31,3,237.55
Town02,0,14,32,9,36.03,1,211.3
Town02,0,10,43,72,19.98,0,12.4
Town02,0,14,43,72,77.17,2,186.05
Town02,0,10,54,14,59.36,3,264.0
Town02,0,14,54,14,90.62,3,124.6
Town02,0,10,26,50,100.0,2,137.1
Town02,0,14,26,50,39.29,0,207.7
Town02,0,10,38,69,43.01,0,26.95
Town02,0,14,38,69,47.46,0,198.05
Town02,0,10,75,24,27.17,1,203.55
Town02,0,14,75,24,12.87,1,192.55
Town02,0,10,19,82,70.03,2,305.7
Town02,0,14,19,82,44.92,0,223.55
Town02,0,10,65,6,89.09,1,94.75
Town02,0,14,65,6,10.97,0,191.1
Town02,0,10,71,29,88.09,1,185.05
Town02,0,14,71,29,1.82,0,183.55
Town02,0,10,59,16,2.37,0,186.3
Town02,0,14,59,16,36.97,4,232.15
Town02,0,10,6,66,100.0,4,56.05
Town02,0,14,6,66,100.0,4,57.2
Town02,0,10,83,56,100.0,2,50.25
Town02,0,14,83,56,100.0,2,49.7
Town02,0,10,69,71,100.0,3,81.6
Town02,0,14,69,71,24.11,1,203.1
Town02,0,10,82,28,52.5,0,43.65
Town02,0,14,82,28,57.05,1,45.95
Town02,0,10,8,17,4.17,0,141.05
Town02,0,14,8,17,1.24,0,141.05
Town02,0,10,19,12,100.0,4,96.1
Town02,0,14,19,12,42.69,0,223.5
Town02,0,10,39,18,55.41,3,241.65
Town02,0,14,39,18,12.61,0,196.7
Town02,0,10,51,8,96.91,1,56.7
Town02,0,14,51,8,100.0,1,57.4
Town02,0,10,24,36,100.0,3,185.0
Town02,0,14,24,36,39.15,2,215.75
Town02,0,10,64,73,100.0,2,47.05
Town02,0,14,64,73,100.0,1,48.65
Town02,1,10,66,19,55.24,2,83.8
Town02,1,14,66,19,57.01,3,191.7
Town02,1,10,6,71,48.29,4,50.25
Town02,1,14,6,71,46.91,4,50.0
Town02,1,10,66,28,60.45,2,139.35
Town02,1,14,66,28,100.0,2,304.0
Town02,1,10,46,32,39.66,1,158.05
Town02,1,14,46,32,70.16,2,158.05
Town02,1,10,25,59,27.6,0,23.8
Town02,1,14,25,59,27.11,0,24.05
Town02,1,10,32,9,84.71,4,277.05
Town02,1,14,32,9,83.5,2,160.25
Town02,1,10,43,72,19.98,0,12.25
Town02,1,14,43,72,79.38,1,186.05
Town02,1,10,54,14,90.9,3,259.15
Town02,1,14,54,14,90.62,4,142.05
Town02,1,10,26,50,100.0,1,179.45
Town02,1,14,26,50,73.69,2,226.05
Town02,1,10,38,69,43.01,0,26.8
Town02,1,14,38,69,46.63,0,198.05
Town02,1,10,75,24,28.7,2,290.05
Town02,1,14,75,24,34.72,2,290.05
Town02,1,10,19,82,100.0,3,130.95
Town02,1,14,19,82,67.84,2,334.05
Town02,1,10,65,6,89.09,1,129.1
Town02,1,14,65,6,11.6,0,259.05
Town02,1,10,71,29,100.0,1,86.8
Town02,1,14,71,29,20.14,0,185.05
Town02,1,10,59,16,2.37,0,186.0
Town02,1,14,59,16,93.59,4,177.5
Town02,1,10,6,66,100.0,4,56.0
Town02,1,14,6,66,100.0,4,67.6
Town02,1,10,83,56,100.0,2,50.2
Town02,1,14,83,56,100.0,2,49.65
Town02,1,10,69,71,100.0,4,99.6
Town02,1,14,69,71,100.0,2,175.85
Town02,1,10,82,28,100.0,1,78.8
Town02,1,14,82,28,57.05,1,45.15
Town02,1,10,8,17,4.76,0,141.05
Town02,1,14,8,17,1.24,0,141.05
Town02,1,10,19,12,100.0,3,117.3
Town02,1,14,19,12,49.72,1,155.35
Town02,1,10,39,18,96.63,3,110.2
Town02,1,14,39,18,96.26,3,157.75
Town02,1,10,51,8,96.91,1,57.2
Town02,1,14,51,8,100.0,1,57.35
Town02,1,10,24,36,100.0,2,155.15
Town02,1,14,24,36,40.97,1,312.05
Town02,1,10,64,73,98.57,2,51.8
Town02,1,14,64,73,100.0,1,49.25
Town02,2,10,66,19,29.9,0,96.6
Town02,2,14,66,19,18.16,0,25.2
Town02,2,10,6,71,48.29,4,61.95
Town02,2,14,6,71,32.88,2,65.9
Town02,2,10,66,28,18.25,0,29.1
Town02,2,14,66,28,14.74,0,23.5
Town02,2,10,46,32,44.5,2,117.35
Town02,2,14,46,32,39.66,1,27.85
Town02,2,10,25,59,27.11,0,23.8
Town02,2,14,25,59,27.11,0,24.4
Town02,2,10,32,9,82.76,3,277.05
Town02,2,14,32,9,83.05,3,111.95
Town02,2,10,43,72,19.98,0,13.25
Town02,2,14,43,72,19.98,0,12.5
Town02,2,10,54,14,43.06,2,142.35
Town02,2,14,54,14,90.62,4,278.15
Town02,2,10,26,50,51.8,1,51.8
Town02,2,14,26,50,20.03,0,26.6
Town02,2,10,38,69,43.01,0,26.45
Town02,2,14,38,69,47.46,0,198.05
Town02,2,10,75,24,24.08,1,27.8
Town02,2,14,75,24,61.35,2,109.2
Town02,2,10,19,82,32.52,0,34.0
Town02,2,14,19,82,59.39,1,146.5
Town02,2,10,65,6,89.09,1,68.1
Town02,2,14,65,6,13.79,0,259.05
Town02,2,10,71,29,50.25,0,37.75
Town02,2,14,71,29,25.9,1,65.15
Town02,2,10,59,16,4.15,1,276.75
Town02,2,14,59,16,93.88,5,315.85
Town02,2,10,6,66,35.21,2,24.95
Town02,2,14,6,66,55.96,2,72.15
Town02,2,10,83,56,42.76,1,72.0
Town02,2,14,83,56,79.86,2,83.1
Town02,2,10,69,71,29.01,1,62.55
Town02,2,14,69,71,41.68,2,79.85
Town02,2,10,82,28,52.15,0,50.8
Town02,2,14,82,28,75.54,2,76.6
Town02,2,10,8,17,4.76,0,141.05
Town02,2,14,8,17,90.62,1,141.05
Town02,2,10,19,12,32.3,0,34.95
Town02,2,14,19,12,32.01,0,42.3
Town02,2,10,39,18,44.77,3,49.85
Town02,2,14,39,18,18.31,1,24.15
Town02,2,10,51,8,96.91,1,56.75
Town02,2,14,51,8,100.0,1,66.55
Town02,2,10,24,36,27.24,1,73.6
Town02,2,14,24,36,22.91,0,66.9
Town02,2,10,64,73,83.55,1,172.05
Town02,2,14,64,73,5.32,0,5.05
