town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,26.32,0,230.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,9.87,0,201.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,225,26.56,0,231.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,225,26.66,0,231.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,103,21,23.39,1,215.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,103,21,22.13,1,354.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,127,87,34.42,0,256.35,2.19,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,19,103,28.16,0,222.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,19,103,30.18,1,225.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,19,103,30.18,1,284.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,28.16,0,222.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,230,210,11.59,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,15.23,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,230,210,14.63,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,230,210,0.0,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,250,190,22.84,0,205.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,250,190,7.92,0,190.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,250,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,250,190,21.09,0,204.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,220,118,22.74,0,207.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,220,118,21.93,0,206.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,220,118,20.31,0,204.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,220,118,22.54,0,207.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,11,17,29.08,0,200.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,11,17,29.85,0,201.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,11,17,55.98,1,211.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,11,17,3.92,0,185.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,78,245,45.72,0,230.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,245,46.13,0,263.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,245,48.18,0,238.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,245,46.3,0,231.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,3,175,2.42,0,186.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,3,175,8.02,1,191.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,92,112,60.84,0,291.65,0.5,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,92,112,9.29,0,199.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,92,112,3.31,0,189.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,92,112,7.22,0,195.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,233,238,55.39,1,271.7,3.64,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,233,238,9.27,1,323.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,233,238,9.41,0,228.15,3.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,233,238,9.54,1,197.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,4,54,100.0,3,115.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,4,54,48.61,2,237.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,4,54,25.87,0,212.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,4,54,100.0,2,116.05,1.57,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,17,205,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,17,205,0.0,0,250.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,17,205,0.58,0,184.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,17,205,0.0,0,194.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,221,210,26.54,0,220.9,1.35,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,221,210,22.19,0,214.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,221,210,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,221,210,6.13,0,191.5,7.48,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,152,84,14.39,0,198.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,152,84,14.09,0,198.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,152,84,73.43,2,310.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,152,84,14.24,0,198.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,185,121,0.93,0,287.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,185,121,0.71,0,184.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,185,121,0.71,0,185.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,185,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,127,56,31.11,0,256.5,4.46,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,127,56,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,127,56,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,127,56,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,112,6,14.76,1,196.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,112,6,11.45,1,13.9,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,112,6,11.45,1,14.05,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,112,6,14.31,1,195.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,40,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,40,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,40,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,40,190,35.04,2,238.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,119,185,38.81,0,239.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,119,185,38.06,0,238.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,119,185,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,119,185,41.22,0,243.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,236,223,23.13,0,217.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,236,223,22.1,0,227.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,236,223,79.43,0,302.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,236,223,27.65,0,281.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,217,152,20.43,0,236.2,0.96,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,217,152,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,217,152,18.97,0,280.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,217,152,9.28,0,207.05,2.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,78,225,26.46,0,231.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,78,225,26.66,1,335.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,78,225,26.66,1,111.55,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,78,225,26.66,0,159.9,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,103,21,100.0,3,210.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,103,21,20.71,1,211.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,103,21,0.0,0,203.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,103,21,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,127,87,35.17,0,82.25,2.15,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,19,103,28.16,0,222.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,19,103,30.05,1,225.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,19,103,31.13,1,278.7,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,19,103,28.16,0,222.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,230,210,11.59,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,230,210,15.23,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,230,210,14.63,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,230,210,0.0,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,250,190,22.4,0,205.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,250,190,7.92,0,190.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,250,190,21.53,0,76.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,250,190,21.09,0,204.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,220,118,29.33,0,216.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,220,118,22.74,0,316.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,220,118,20.31,0,204.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,220,118,25.78,0,211.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,11,17,28.69,0,200.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,11,17,29.85,0,202.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,11,17,26.36,0,198.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,11,17,4.31,0,185.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,78,245,43.63,0,228.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,78,245,9.62,0,192.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,78,245,48.18,0,238.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,78,245,46.64,0,162.0,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,3,175,2.64,0,354.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,3,175,36.55,2,371.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,3,175,7.86,1,191.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,92,112,61.74,0,121.35,4.09,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,92,112,9.42,0,238.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,92,112,3.31,0,189.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,92,112,7.22,0,195.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,233,238,59.94,1,103.1,10.17,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,233,238,52.05,1,465.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,233,238,9.27,0,196.8,3.43,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,233,238,9.68,1,197.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,4,54,21.6,0,26.75,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,4,54,21.6,0,27.1,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,4,54,20.62,0,206.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,4,54,21.6,0,26.65,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,17,205,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,17,205,7.65,1,319.0,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,17,205,0.47,0,184.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,17,205,0.0,0,194.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,221,210,36.63,0,156.25,26.06,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,221,210,22.34,0,214.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,221,210,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,221,210,6.29,0,191.85,9.73,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,152,84,13.94,0,198.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,152,84,14.09,0,199.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,152,84,68.39,1,119.4,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,152,84,14.24,0,198.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,185,121,0.86,0,291.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,185,121,0.79,0,244.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,185,121,0.62,0,184.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,185,121,1.08,0,221.25,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,127,56,34.35,0,87.7,93.47,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,127,56,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,127,56,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,127,56,0.0,0,205.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,112,6,14.76,1,196.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,112,6,11.45,1,13.95,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,112,6,11.45,1,13.8,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,112,6,14.31,1,196.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,40,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,40,190,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,40,190,0.0,0,225.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,40,190,35.04,2,238.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,174,121,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,174,121,6.13,0,265.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,119,185,38.96,0,239.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,119,185,38.21,0,238.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,119,185,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,119,185,41.07,0,242.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,236,223,23.13,0,217.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,236,223,22.79,0,235.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,236,223,79.43,0,302.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,236,223,28.09,0,316.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,1,217,152,20.43,0,236.2,0.96,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,217,152,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,217,152,18.89,0,232.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,217,152,9.28,0,202.15,2.7,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,1,78,225,5.66,0,316.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,3,78,225,5.18,0,12.45,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,6,78,225,13.47,0,30.15,24.97,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,8,78,225,11.43,0,207.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,1,103,21,24.18,1,39.8,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,3,103,21,21.03,1,378.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,6,103,21,3.48,0,210.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,8,103,21,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,1,127,87,37.25,0,97.1,4.97,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,3,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,6,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,8,127,87,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,1,19,103,22.32,0,36.6,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,3,19,103,25.24,0,38.95,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,6,19,103,25.09,0,59.6,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,8,19,103,21.09,0,32.35,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,1,230,210,11.59,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,3,230,210,14.63,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,6,230,210,14.63,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,8,230,210,0.0,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,1,250,190,1.34,0,3.65,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,3,250,190,1.34,0,3.65,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,6,250,190,21.53,0,104.05,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,8,250,190,1.34,0,3.7,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,2,1,220,118,29.33,0,299.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,2,3,220,118,28.35,0,399.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,2,6,220,118,20.31,0,204.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
