town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,72.56,1,455.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,39.86,0,255.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,225,74.49,0,413.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,225,72.45,1,393.7,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,103,21,100,0,231.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,103,21,61.29,0,453.85,1.03,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,3.8,0,188.15,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,4.27,0,188.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,127,87,55.18,0,341.25,65.54,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,127,87,55.18,0,301.1,66.79,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,127,87,54.97,0,308.55,62.03,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,127,87,0.85,0,184.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,19,103,26.47,0,315.4,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,19,103,26.47,0,330.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,19,103,71.18,0,368.35,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,26.32,0,318.4,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,230,210,100,1,130.2,1.25,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,21.9,0,136.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,230,210,21.9,0,136.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,230,210,21.9,0,136.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,250,190,21.96,0,369.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,250,190,21.75,0,204.7,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,250,190,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,250,190,21.75,0,217.2,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,220,118,30.77,0,36.1,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,220,118,100,0,143.6,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,220,118,100,0,143.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,220,118,30.61,0,35.75,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,200,224,41.85,0,413.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,200,224,41.71,0,308.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,200,224,0.15,0,270.4,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,200,224,0.55,0,256.85,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,11,17,73.07,0,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,11,17,73.07,0,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,11,17,35.85,0,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
