town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,65.22,3,123.5,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,78,225,30.97,0,62.35,9.64,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,78,225,54.7,1,287.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,225,26.46,0,232.9,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,103,21,100,3,139.85,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,103,21,24.02,1,215.95,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,83.31,3,298.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,100,3,139.15,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,127,87,100,1,213.6,26.25,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,127,87,100,1,213.5,26.27,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,127,87,100,1,214.2,25.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,127,87,100,1,214.1,26,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,19,103,59.32,4,88.3,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,19,103,59.32,4,89.95,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,19,103,45.69,2,249.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,42.62,2,65.2,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,230,210,100,0,38.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,100,0,38,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,230,210,5.53,0,136.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,230,210,100,0,37.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,250,190,45.04,1,228.05,1.09,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,250,190,50.08,1,243.95,0.98,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,250,190,24.38,0,27.7,10.8,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,250,190,100,3,102.7,2.18,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,220,118,23.75,0,208.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,220,118,23.75,0,399.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,220,118,28.55,0,214.15,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,220,118,23.96,0,208.6,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,200,224,100,5,162.45,25.25,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,200,224,100,4,163.85,25.22,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,200,224,0,0,182.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,200,224,100,4,162.7,24.94,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,11,17,73.84,2,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,11,17,78.1,2,211.05,1.76,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,11,17,50.17,1,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,11,17,42.43,1,110.45,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,78,245,100,1,106.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,78,245,52.75,0,239.85,7.85,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,245,100,1,107.2,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,78,245,46.13,0,233.35,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,3,175,1.55,0,183.95,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,3,175,1.33,0,183.85,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,3,175,1.55,0,184.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,3,175,100,4,101.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,92,112,100,1,177.65,2.13,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,92,112,100,1,177.9,2.13,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,92,112,100,1,178.2,1.52,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,92,112,100,1,178.5,1.52,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,233,238,100,4,161.35,2.18,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,233,238,100,4,161.4,2.18,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,233,238,100,4,161.7,2.01,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,233,238,100,4,161.65,1.51,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,4,54,48.42,2,327.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,4,54,87.32,3,341.65,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,4,54,47.83,2,236.35,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,4,54,100,3,114.2,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,17,205,21.52,2,226.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,17,205,21.06,2,297.7,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,17,205,21.17,2,222.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,17,205,93.62,5,184.1,0.38,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,221,210,45.22,0,248.05,26.16,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,221,210,45.07,0,66.35,25.57,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,221,210,23.26,0,216.2,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,221,210,72.97,1,106.65,15.84,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,152,84,22.52,0,27.1,35.66,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,152,84,13.59,0,197.85,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,152,84,20.15,0,25,9.94,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,152,84,20.15,0,25,5.5,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,185,121,34.34,0,82.35,8.49,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,185,121,1.45,0,186.4,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,185,121,3.53,0,10.45,25.2,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,185,121,34.34,0,81.95,3.77,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,127,56,100,1,234.95,31.89,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,127,56,100,1,234.9,31.71,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,127,56,100,1,288.3,2.99,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,127,56,100,1,235.35,31.66,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,112,6,12.97,1,195.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,112,6,13.19,1,195.8,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,112,6,100,5,103.25,2.22,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,112,6,73.84,3,259.5,3.29,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,40,190,100,5,157.8,1.24,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,40,190,4.89,0,267.65,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,40,190,24.77,1,221.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,40,190,42.56,3,249.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,174,121,6,0,11.8,69.63,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,174,121,1.47,0,185.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,174,121,6,0,12.2,20.75,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,174,121,6,0,12.5,15.55,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,119,185,39.56,0,240.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,119,185,42.97,0,246.5,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,119,185,43.25,0,246.9,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,119,185,44.17,0,68.3,1.05,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,236,223,27.65,0,43.55,16.75,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,236,223,22.64,0,216.7,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,236,223,27.5,0,43.8,4.86,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,236,223,27.5,0,43.6,4.58,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,217,152,30.47,0,262.1,20.66,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,217,152,51.57,1,319.8,12.21,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,217,152,18.72,0,231.75,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,217,152,45.79,1,123,13.97,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,78,225,42.38,1,79.8,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,78,225,30.85,0,61.25,10.84,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,78,225,54.46,1,285,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,78,225,52.17,2,165.95,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,103,21,100,4,162.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,103,21,100,3,347.35,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,103,21,83.46,3,435.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,103,21,100,3,138.95,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,127,87,100,1,213.6,26.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,127,87,100,1,213.55,26.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,127,87,100,1,214.15,25.96,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,127,87,100,1,214.05,26.13,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,19,103,59.32,3,125.45,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,19,103,59.32,3,124,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,19,103,45.69,2,274,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,19,103,59.32,4,122.6,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,230,210,100,0,37.9,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,230,210,100,0,38.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,230,210,5.53,0,136.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,230,210,100,0,37.6,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,250,190,50.3,1,369.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,250,190,100,2,217.2,3.22,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,250,190,24.38,0,27.6,9.9,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,250,190,37.77,1,40.6,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,220,118,23.75,0,322.95,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,220,118,23.96,0,399.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,220,118,28.87,0,315.25,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,220,118,29.96,0,36.1,2.09,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,200,224,12.89,2,23.05,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,200,224,12.89,2,23,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,200,224,0.15,0,203.8,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,200,224,100,5,223.65,24.36,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,11,17,88.58,2,200.1,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,11,17,77.71,1,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,11,17,50.56,1,211.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,11,17,55.98,1,86,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,78,245,100,1,106.85,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,78,245,53.8,0,61.3,10.41,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,78,245,52.33,0,57.75,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,78,245,48.01,1,388.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,3,175,1.55,0,279.65,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,3,175,1.33,0,183.9,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,3,175,1.77,0,261.7,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,3,175,100,4,101.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,92,112,87.46,0,158.35,2.41,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,92,112,95.48,0,188.75,2.21,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,92,112,100,0,221.85,1.98,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,92,112,100,4,203.4,1.67,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,233,238,100,4,161.35,2.18,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,233,238,100,4,161.4,2.18,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,233,238,96.62,4,158.15,1.89,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,233,238,100,4,161.65,1.68,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,4,54,48.81,1,341.55,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,4,54,100,3,174.3,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,4,54,20.24,0,25.2,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,4,54,21.6,0,29.05,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,17,205,21.74,2,238.4,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,3,17,205,44.39,3,296.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,6,17,205,21.06,2,222,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,8,17,205,93.62,5,183.6,0.38,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,221,210,44.76,0,126.05,29.5,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,221,210,45.07,0,66.35,25.57,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,221,210,45.99,0,160.75,5.85,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,221,210,72.97,1,106.75,15.84,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,152,84,20.15,0,24.3,30.05,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,152,84,93.61,2,292.7,2.67,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,152,84,100,3,113.45,1.57,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,152,84,20.15,0,24.8,6.71,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,185,121,34.34,0,82.45,8.49,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,185,121,1.45,0,83.85,0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,185,121,3.53,0,10.65,25.2,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,8,185,121,34.34,0,84,2.39,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,1,127,56,100,1,234.95,31.78,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,3,127,56,100,1,234.9,31.8,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,6,127,56,100,1,315.6,31.65,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
