town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town02,0,1,66,19,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,66,19,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,66,19,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,66,19,33.78,1,103.3,8.23,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,6,71,10.35,1,376.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,6,71,9.49,1,362.25,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,6,71,9.49,1,195.9,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,6,71,1.96,0,184.45,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,66,28,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,66,28,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,66,28,0,0,180.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,66,28,28.5,1,103.9,8.23,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,46,32,26.16,1,158.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,46,32,26.68,1,158.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,46,32,0,0,158.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,46,32,19.93,1,158.05,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,25,59,27.6,0,23.6,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,25,59,16.85,0,195.5,0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,25,59,27.6,0,24.2,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,25,59,27.6,0,23.55,0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
