town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town02,0,1,66,19,39.15,1,230.0,4.33,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,66,19,38.8,0,230.65,0.61,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,66,19,61.2,2,262.4,11.31,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,66,19,100.0,3,126.15,2.4,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,6,71,100.0,6,99.15,4.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,6,71,100.0,6,100.55,2.58,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,6,71,100.0,5,103.0,4.59,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,6,71,100.0,6,102.05,4.75,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,66,28,100.0,3,147.25,1.44,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,66,28,32.74,0,230.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,66,28,51.63,2,262.25,2.77,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,66,28,100.0,2,149.2,2.71,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,46,32,39.66,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,46,32,39.14,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,46,32,39.14,1,19.95,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,46,32,39.14,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,25,59,27.11,0,23.5,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,25,59,27.11,0,23.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,25,59,27.11,0,23.75,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,25,59,27.6,0,23.95,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,32,9,36.61,1,209.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,32,9,36.32,1,209.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,32,9,82.76,3,65.5,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,32,9,24.45,0,202.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,43,72,19.98,0,11.85,15.19,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,43,72,5.82,0,5.45,41.16,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,43,72,56.93,1,31.75,6.94,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,43,72,81.15,2,186.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,54,14,90.9,3,120.4,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,54,14,90.9,3,123.9,0.97,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,54,14,59.61,3,262.05,2.48,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,54,14,12.67,1,22.05,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,26,50,100.0,2,63.55,25.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,26,50,100.0,2,76.2,25.31,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,26,50,74.77,1,226.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,26,50,100.0,2,62.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,38,69,100.0,1,54.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,38,69,100.0,1,55.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,38,69,43.52,0,28.1,4.53,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,38,69,43.01,0,26.6,2.36,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,75,24,100.0,4,77.6,1.19,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,75,24,100.0,4,78.85,7.09,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,75,24,100.0,3,81.9,10.74,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,75,24,27.45,1,205.7,7.24,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,19,82,100.0,3,89.6,16.85,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,19,82,67.84,2,243.75,25.31,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,19,82,17.51,0,198.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,19,82,100.0,4,90.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,65,6,100.0,1,71.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,65,6,11.91,0,190.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,65,6,11.91,0,191.6,25.96,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,65,6,89.09,1,66.5,0.43,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,71,29,100.0,1,51.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,71,29,3.15,0,184.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,71,29,88.76,1,185.05,4.41,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,71,29,100.0,1,51.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,59,16,93.88,5,123.8,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,59,16,93.59,2,155.7,2.12,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,59,16,22.22,3,217.15,6.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,59,16,2.21,0,186.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,6,66,100.0,4,54.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,6,66,100.0,4,54.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,6,66,100.0,2,92.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,6,66,100.0,4,54.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,83,56,100.0,3,48.55,5.83,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,83,56,100.0,2,48.55,5.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,83,56,100.0,3,51.65,7.19,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,83,56,100.0,3,49.85,5.14,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,69,71,100.0,3,79.85,2.69,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,69,71,100.0,4,81.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,69,71,100.0,4,82.2,3.37,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,69,71,100.0,4,81.55,0.33,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,82,28,100.0,1,73.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,82,28,19.82,1,197.0,9.52,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,82,28,7.79,0,193.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,82,28,100.0,1,74.2,2.37,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,8,17,100.0,2,39.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,8,17,100.0,2,39.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,8,17,0.0,0,141.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,8,17,52.37,1,24.7,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,19,12,100.0,4,94.35,16.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,19,12,90.98,3,269.0,17.93,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,19,12,16.87,0,198.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,19,12,100.0,4,94.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,39,18,13.05,0,195.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,39,18,13.05,0,195.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,39,18,55.74,3,240.4,3.47,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,39,18,4.21,0,187.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,51,8,100.0,1,56.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,51,8,100.0,1,57.15,0.43,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,51,8,97.4,1,192.15,1.51,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,51,8,96.91,1,56.4,1.01,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,24,36,100.0,2,85.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,24,36,40.45,2,217.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,24,36,100.0,3,89.9,4.49,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,24,36,100.0,2,86.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,64,73,100.0,2,45.85,4.72,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,64,73,100.0,2,46.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,64,73,100.0,2,47.95,5.31,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,64,73,100.0,2,47.4,3.52,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,66,19,100.0,3,235.75,4.04,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,66,19,100.0,5,388.2,2.05,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,66,19,24.35,1,234.65,5.29,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,1,8,66,19,70.43,3,95.35,4.81,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,6,71,100.0,6,102.8,4.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,6,71,100.0,6,101.6,2.36,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,6,71,100.0,5,103.9,4.59,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,6,71,47.46,4,49.75,5.38,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,66,28,100.0,4,216.35,1.95,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,66,28,100.0,5,322.6,2.25,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,66,28,54.7,3,343.3,3.27,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,1,8,66,28,100.0,4,153.55,1.84,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,46,32,40.98,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,46,32,40.46,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,46,32,39.14,1,19.6,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,46,32,49.91,2,146.65,7.64,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,25,59,27.11,0,23.5,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,25,59,27.11,0,23.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,25,59,27.11,0,23.8,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,25,59,27.6,0,23.95,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,32,9,83.79,2,277.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,32,9,83.5,2,277.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,32,9,82.76,3,195.8,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,32,9,24.74,1,277.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,43,72,19.98,0,12.0,15.19,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,43,72,20.42,0,14.7,60.33,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,43,72,100.0,2,71.65,2.9,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,43,72,100.0,2,69.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,54,14,90.9,4,139.15,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,54,14,90.9,4,140.75,0.85,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,54,14,59.61,3,483.05,2.2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,54,14,12.67,1,39.75,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,26,50,100.0,1,113.55,25.36,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,26,50,81.93,1,120.95,31.11,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,26,50,74.41,0,226.05,3.87,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,26,50,100.0,2,118.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,38,69,100.0,1,59.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,38,69,100.0,1,87.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,38,69,41.55,0,198.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,38,69,43.01,0,26.7,2.36,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,75,24,86.51,4,67.55,1.98,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,75,24,100.0,4,78.8,6.59,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,75,24,85.84,3,74.65,10.32,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,75,24,30.06,1,165.95,8.25,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,19,82,100.0,3,134.2,17.13,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,19,82,74.49,3,108.3,2.84,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,19,82,17.51,0,198.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,1,8,19,82,75.07,3,112.95,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,65,6,100.0,1,71.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,65,6,100.0,1,87.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,65,6,12.54,0,259.05,22.49,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,65,6,89.09,1,65.8,0.43,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,71,29,100.0,1,51.0,2.77,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,71,29,100.0,2,150.6,2.35,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,71,29,88.76,1,185.05,4.41,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,71,29,100.0,1,51.5,2.21,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,59,16,93.88,5,123.6,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,59,16,7.05,1,20.85,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,59,16,62.43,6,276.5,4.78,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,1,8,59,16,2.62,0,480.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,6,66,100.0,4,54.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,6,66,100.0,4,54.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,6,66,100.0,4,111.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,6,66,100.0,4,54.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,83,56,100.0,3,49.35,5.38,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,83,56,100.0,3,48.65,4.92,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,83,56,100.0,3,52.25,7.19,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,83,56,100.0,3,49.8,4.02,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,69,71,100.0,4,80.3,2.06,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,69,71,47.91,3,40.5,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,69,71,100.0,4,111.6,2.71,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,8,69,71,93.73,2,89.85,1.05,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,82,28,100.0,1,74.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,82,28,100.0,1,120.0,1.91,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,6,82,28,8.09,0,196.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,1,8,82,28,100.0,1,74.8,2.37,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,1,8,17,100.0,1,65.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,1,3,8,17,100.0,1,65.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
