town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town02,0,1,66,19,100.0,4,124.05,2.91,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,66,19,26.96,1,217.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,66,19,68.36,1,89.55,3.37,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,66,19,100.0,3,124.0,12.62,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,6,71,100.0,6,100.85,3.72,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,6,71,11.22,1,193.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,6,71,11.22,1,193.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,6,71,100.0,6,100.6,4.8,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,66,28,100.0,4,146.9,2.63,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,66,28,100.0,4,148.05,1.53,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,66,28,57.67,2,89.45,3.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,66,28,100.0,4,147.45,26.12,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,46,32,28.76,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,46,32,28.76,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,46,32,38.62,1,19.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,46,32,18.89,1,158.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,25,59,27.11,0,23.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,25,59,27.11,0,23.6,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,25,59,27.11,0,23.7,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,25,59,28.98,0,24.85,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,32,9,76.88,3,240.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,32,9,76.88,3,240.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,32,9,82.46,3,66.4,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,32,9,24.74,0,203.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,43,72,16.89,0,186.05,69.8,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,3,43,72,4.13,0,5.2,17.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,6,43,72,32.35,0,186.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,8,43,72,14.24,0,186.05,23.78,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town02,0,1,54,14,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,3,54,14,18.5,2,293.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,6,54,14,20.34,2,209.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,8,54,14,10.33,1,196.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town02,0,1,26,50,100.0,2,62.05,25.67,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
