town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,10,78,225,26.2,0,229.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,78,225,65.1,3,123.4,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,103,21,100.0,3,142.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,103,21,22.44,1,214.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,127,87,1.72,0,6.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,127,87,70.99,1,335.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,19,103,59.32,4,87.85,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,19,103,59.32,4,92.8,1.52,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,230,210,100.0,0,39.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,230,210,100.0,0,39.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,250,190,100.0,3,103.9,3.86,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,250,190,50.08,2,310.75,4.01,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,220,118,29.96,0,35.0,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,220,118,29.96,0,35.05,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,11,17,100.0,3,61.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,11,17,78.49,2,211.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,78,245,45.3,0,230.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,78,245,46.81,0,232.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,3,175,1.55,0,184.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,3,175,1.55,0,183.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,92,112,21.51,0,40.65,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,92,112,100.0,1,179.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,233,238,11.86,1,21.3,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,233,238,100.0,4,162.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,4,54,100.0,4,114.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,4,54,48.81,2,237.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,17,205,48.85,5,95.35,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,17,205,21.97,2,223.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,221,210,100.0,3,143.65,0.76,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,221,210,100.0,3,144.2,0.76,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,152,84,10.68,0,262.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,152,84,98.0,3,112.45,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,185,121,0.49,0,183.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,185,121,3.53,0,10.35,10.46,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,127,56,1.44,0,6.15,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,127,56,100.0,1,238.4,29.42,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,112,6,73.27,3,256.3,2.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,112,6,18.12,1,201.45,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,40,190,72.14,4,301.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,40,190,5.03,0,191.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,174,121,57.01,2,95.6,3.34,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,174,121,100.0,2,162.8,0.63,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,119,185,45.39,0,69.55,4.71,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,119,185,44.17,0,66.95,1.57,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,236,223,20.5,0,271.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,236,223,100.0,0,151.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,217,152,68.5,3,363.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,217,152,53.49,2,323.5,0.96,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,78,225,26.08,0,389.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,14,78,225,58.5,2,111.5,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,103,21,100.0,3,142.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,103,21,22.6,1,325.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,127,87,1.59,0,6.15,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,127,87,57.88,0,127.05,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,19,103,59.32,3,159.75,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,19,103,57.03,3,86.85,8.05,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,230,210,100.0,0,39.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,230,210,100.0,0,39.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,250,190,29.0,1,31.3,4.01,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,250,190,50.08,2,278.5,2.32,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,220,118,29.96,0,35.0,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,220,118,29.96,0,35.0,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,200,224,100.0,3,266.8,24.92,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,200,224,0.0,0,326.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,11,17,56.37,1,37.05,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,14,11,17,51.34,1,31.85,0.0,FAILURE,FAILURE,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,78,245,45.3,0,386.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,14,78,245,100.0,1,107.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,1,10,3,175,1.99,0,268.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,14,3,175,1.99,0,321.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,1,10,92,112,21.66,0,40.85,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
