town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,10,78,225,26.32,0,230.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,78,225,65.22,3,123.9,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,103,21,100.0,3,139.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,103,21,60.98,2,267.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,127,87,100.0,1,214.25,25.75,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,127,87,100.0,1,213.9,25.74,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,19,103,35.78,1,233.75,1.6,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,19,103,59.32,4,88.0,1.72,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,230,210,100.0,0,37.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,230,210,100.0,0,37.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,250,190,49.86,2,233.2,2.2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,250,190,40.99,1,224.45,2.02,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,220,118,23.96,0,210.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,220,118,29.96,0,51.15,3.11,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,200,224,100.0,5,161.65,24.73,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,200,224,100.0,5,162.4,24.8,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,11,17,24.82,0,197.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,11,17,66.65,2,42.5,5.16,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,78,245,45.72,0,230.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,78,245,88.29,1,96.5,0.69,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,3,175,100.0,4,105.45,0.33,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,92,112,100.0,2,184.0,0.61,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,92,112,100.0,1,178.35,1.22,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,233,238,100.0,4,161.6,0.67,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,233,238,100.0,4,161.45,1.51,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,4,54,49.0,2,238.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,4,54,47.83,2,237.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,17,205,93.62,5,185.4,0.56,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,17,205,21.52,2,223.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,10,221,210,100.0,4,156.1,11.66,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,221,210,100.0,3,145.15,11.63,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,152,84,20.15,0,25.05,15.35,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,14,152,84,20.15,0,126.1,24.73,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,10,185,121,0.71,0,184.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,14,185,121,31.02,0,255.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
