town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,26.66,1,449.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,26.56,0,231.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,225,30.13,0,58.6,2.94,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,78,225,65.1,3,122.55,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,103,21,24.33,1,216.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,103,21,23.86,1,217.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,83.31,3,315.9,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,83.46,3,299.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,127,87,100.0,1,213.9,57.41,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,127,87,100.0,1,214.5,24.27,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,127,87,100.0,2,219.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,127,87,1.46,0,6.0,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,19,103,59.32,4,88.15,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,19,103,59.32,4,86.7,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,19,103,34.7,1,236.55,1.29,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,59.17,4,87.35,0.76,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,230,210,100.0,0,37.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,100.0,0,37.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,230,210,6.74,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,230,210,100.0,0,38.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,250,190,100.0,3,100.1,1.51,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,250,190,45.69,2,230.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,250,190,21.53,0,23.9,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,250,190,60.29,3,67.75,2.83,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,220,118,100.0,2,109.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,220,118,29.96,0,34.95,1.58,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,220,118,100.0,2,113.8,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,220,118,32.62,0,37.65,11.01,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,200,224,100.0,5,161.15,24.54,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,11,17,70.36,2,211.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,11,17,98.84,3,211.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,11,17,25.2,0,197.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,11,17,96.13,3,61.9,1.61,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,78,245,46.3,1,231.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,245,46.13,0,231.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,245,52.33,0,60.85,3.53,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,78,245,88.08,1,95.0,1.93,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,3,175,100.0,4,100.35,1.84,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,3,175,1.77,0,184.85,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,3,175,5.91,1,188.95,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,3,175,5.26,0,188.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,92,112,100.0,1,177.75,2.12,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,92,112,100.0,1,178.25,0.46,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,92,112,100.0,1,184.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,92,112,21.51,0,41.8,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,233,238,100.0,4,161.45,44.05,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,233,238,100.0,4,161.85,0.34,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,233,238,100.0,4,164.35,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
