town,traffic,weather,start,target,route_completion,lights_ran,duration
Town02,0,10,66,19,100,4,125.5
Town02,0,14,66,19,42.45,2,235.95
Town02,0,10,6,71,100,6,102.25
Town02,0,14,6,71,11.22,1,194.85
Town02,0,10,66,28,100,4,149.25
Town02,0,14,66,28,100,4,148.45
Town02,0,10,46,32,40.98,1,158.05
Town02,0,14,46,32,40.98,1,20.5
Town02,0,10,25,59,28.52,0,24.65
Town02,0,14,25,59,27.6,0,23.6
Town02,0,10,32,9,28.1,1,27.35
Town02,0,14,32,9,84.92,3,66.65
Town02,0,10,43,72,100,3,52.65
Town02,0,14,43,72,100,3,53.7
Town02,0,10,54,14,91.58,3,127.35
Town02,0,14,54,14,90.9,3,128.15
Town02,0,10,26,50,100,2,63.35
Town02,0,14,26,50,100,2,65
Town02,0,10,38,69,43.52,0,27.1
Town02,0,14,38,69,100,1,58.2
Town02,0,10,75,24,29.26,2,206.95
Town02,0,14,75,24,34.44,2,214.25
Town02,0,10,19,82,65.1,2,67.6
Town02,0,14,19,82,100.0,4,93.65
Town02,0,10,65,6,8.05,0,13.0
Town02,0,14,65,6,100.0,1,75.15
Town02,0,10,71,29,100.0,1,53.35
Town02,0,14,71,29,100.0,1,52.8
Town02,0,10,59,16,4.15,1,12.9
Town02,0,14,59,16,30.76,4,44.8
Town02,0,10,6,66,31.61,2,201.05
Town02,0,14,6,66,21.2,1,194.9
Town02,0,10,83,56,9.06,1,182.05
Town02,0,14,83,56,13.04,1,182.05
Town02,0,10,69,71,100.0,4,82.35
Town02,0,14,69,71,1.12,0,298.05
Town02,0,10,82,28,100.0,1,74.25
Town02,0,14,82,28,100.0,1,74.3
Town02,0,10,8,17,100.0,2,41.1
Town02,0,14,8,17,100.0,2,41.1
Town02,0,10,19,12,100.0,4,96.3
Town02,0,14,19,12,100.0,4,96.5
Town02,0,10,39,18,4.43,0,187.4
Town02,0,14,39,18,96.26,3,100.85
Town02,0,10,51,8,96.91,1,55.5
Town02,0,14,51,8,100.0,1,57.1
Town02,0,10,24,36,100.0,2,86.4
Town02,0,14,24,36,100.0,3,87.75
Town02,0,10,64,73,100.0,2,46.9
Town02,0,14,64,73,100.0,2,47.1
Town02,1,10,66,19,38.28,2,59.05
Town02,1,14,66,19,30.25,1,48.45
Town02,1,10,6,71,46.39,4,49.75
Town02,1,14,6,71,100.0,5,105.15
Town02,1,10,66,28,51.63,3,85.3
Town02,1,14,66,28,100.0,5,152.2
Town02,1,10,46,32,44.88,2,131.5
Town02,1,14,46,32,42.6,1,21.65
