town,traffic,weather,start,target,route_completion,lights_ran,duration
Town02,0,10,66,19,65.18,2,264.7
Town02,0,14,66,19,100.0,3,125.85
Town02,0,10,6,71,12.72,1,18.25
Town02,0,14,6,71,12.72,1,18.05
Town02,0,10,66,28,100.0,3,149.85
Town02,0,14,66,28,100.0,3,151.2
Town02,0,10,46,32,39.66,1,158.05
Town02,0,14,46,32,39.66,1,20.25
Town02,0,10,25,59,28.29,0,24.6
Town02,0,14,25,59,27.11,0,23.35
Town02,0,10,32,9,24.45,0,201.85
Town02,0,14,32,9,24.11,0,200.85
Town02,0,10,43,72,69.43,1,186.05
Town02,0,14,43,72,19.98,0,12.35
Town02,0,10,54,14,91.31,3,124.85
Town02,0,14,54,14,90.62,3,121.85
Town02,0,10,26,50,100.0,2,62.7
Town02,0,14,26,50,100.0,2,63.5
Town02,0,10,38,69,100.0,1,54.5
Town02,0,14,38,69,100.0,1,53.85
Town02,0,10,75,24,29.51,2,205.7
Town02,0,14,75,24,100.0,4,78.15
Town02,0,10,19,82,63.1,1,239.1
Town02,0,14,19,82,100.0,4,91.7
Town02,0,10,65,6,100.0,1,72.0
Town02,0,14,65,6,100.0,1,72.65
Town02,0,10,71,29,100.0,1,53.0
Town02,0,14,71,29,100.0,1,52.65
Town02,0,10,59,16,3.19,1,187.35
Town02,0,14,59,16,18.75,2,210.0
Town02,0,10,6,66,24.06,1,18.15
Town02,0,14,6,66,24.06,1,18.05
Town02,0,10,83,56,100.0,3,49.9
Town02,0,14,83,56,100.0,3,49.55
Town02,0,10,69,71,100.0,4,81.35
Town02,0,14,69,71,100.0,4,81.1
Town02,0,10,82,28,100.0,0,74.15
Town02,0,14,82,28,100.0,1,73.8
Town02,0,10,8,17,100.0,2,39.45
Town02,0,14,8,17,100.0,2,39.4
Town02,0,10,19,12,100.0,4,95.1
Town02,0,14,19,12,100.0,4,94.8
Town02,0,10,39,18,4.21,0,187.25
Town02,0,14,39,18,4.21,0,187.2
Town02,0,10,51,8,100.0,1,55.6
Town02,0,14,51,8,100.0,1,54.9
Town02,0,10,24,36,34.26,1,211.7
Town02,0,14,24,36,100.0,3,87.15
Town02,0,10,64,73,100.0,2,46.5
Town02,0,14,64,73,100.0,2,46.15
Town02,1,10,66,19,100.0,5,243.55
Town02,1,14,66,19,44.5,3,202.6
Town02,1,10,6,71,12.72,1,17.75
Town02,1,14,6,71,12.72,1,18.55
Town02,1,10,66,28,100.0,4,155.55
Town02,1,14,66,28,100.0,5,202.35
Town02,1,10,46,32,39.66,1,158.05
Town02,1,14,46,32,39.66,1,20.65
Town02,1,10,25,59,28.29,0,24.6
Town02,1,14,25,59,27.11,0,23.4
Town02,1,10,32,9,24.74,0,277.05
Town02,1,14,32,9,24.11,0,200.9
Town02,1,10,43,72,61.79,1,34.1
Town02,1,14,43,72,100.0,2,71.05
Town02,1,10,54,14,91.31,4,143.25
Town02,1,14,54,14,5.83,1,10.3
Town02,1,10,26,50,67.42,1,226.05
Town02,1,14,26,50,100.0,0,94.35
