town,traffic,weather,start,target,route_completion,lights_ran,duration
Town02,0,10,66,19,100.0,4,125.3
Town02,0,14,66,19,100.0,4,125.55
Town02,0,10,6,71,100.0,6,101.85
Town02,0,14,6,71,100.0,5,103.75
Town02,0,10,66,28,100.0,4,149.0
Town02,0,14,66,28,100.0,4,149.5
Town02,0,10,46,32,39.66,1,158.05
Town02,0,14,46,32,40.98,1,20.35
Town02,0,10,25,59,28.98,0,25.05
Town02,0,14,25,59,27.6,0,23.65
Town02,0,10,32,9,27.09,1,31.95
Town02,0,14,32,9,83.05,3,66.95
Town02,0,10,43,72,3.07,0,184.15
Town02,0,14,43,72,3.07,0,184.2
Town02,0,10,54,14,91.31,3,127.1
Town02,0,14,54,14,90.9,3,175.8
Town02,0,10,26,50,69.26,1,47.25
Town02,0,14,26,50,100.0,2,64.65
Town02,0,10,38,69,43.01,0,26.15
Town02,0,14,38,69,100.0,1,57.85
Town02,0,10,75,24,29.26,2,206.6
Town02,0,14,75,24,100.0,3,86.9
Town02,0,10,19,82,63.69,2,240.7
Town02,0,14,19,82,100.0,4,94.05
Town02,0,10,65,6,89.09,1,65.65
Town02,0,14,65,6,100.0,1,75.3
Town02,0,10,71,29,100.0,1,53.7
Town02,0,14,71,29,100.0,1,52.35
Town02,0,10,59,16,4.27,1,14.15
Town02,0,14,59,16,93.88,5,129.25
Town02,0,10,6,66,31.2,1,198.95
Town02,0,14,6,66,100.0,4,59.15
Town02,0,10,83,56,8.15,0,182.05
Town02,0,14,83,56,100.0,4,52.15
Town02,0,10,69,71,100.0,3,82.7
Town02,0,14,69,71,1.12,0,183.7
Town02,0,10,82,28,100.0,1,74.35
Town02,0,14,82,28,100.0,1,74.45
Town02,0,10,8,17,100.0,2,41.0
Town02,0,14,8,17,100.0,2,41.5
Town02,0,10,19,12,100.0,4,96.1
Town02,0,14,19,12,100.0,4,96.65
Town02,0,10,39,18,97.16,3,103.7
Town02,0,14,39,18,96.26,3,100.6
Town02,0,10,51,8,96.91,1,55.4
Town02,0,14,51,8,100.0,1,57.3
Town02,0,10,24,36,27.24,1,24.85
Town02,0,14,24,36,100.0,3,87.65
Town02,0,10,64,73,100.0,2,46.75
Town02,0,14,64,73,100.0,2,46.8
Town02,1,10,66,19,43.32,3,62.05
Town02,1,14,66,19,71.3,4,94.2
Town02,1,10,6,71,47.46,4,50.45
Town02,1,14,6,71,100.0,5,104.7
Town02,1,10,66,28,45.43,1,114.35
Town02,1,14,66,28,60.16,4,98.5
Town02,1,10,46,32,40.98,1,158.05
Town02,1,14,46,32,40.98,1,20.7
Town02,1,10,25,59,28.98,0,25.15
Town02,1,14,25,59,27.6,0,23.7
Town02,1,10,32,9,83.5,3,277.05
Town02,1,14,32,9,83.5,3,66.3
Town02,1,10,43,72,3.07,0,184.15
Town02,1,14,43,72,62.23,1,65.6
Town02,1,10,54,14,91.85,4,144.8
Town02,1,14,54,14,36.12,2,122.95
Town02,1,10,26,50,100.0,0,134.8
Town02,1,14,26,50,100.0,2,141.2
Town02,1,10,38,69,43.01,0,26.1
Town02,1,14,38,69,86.53,2,88.4
Town02,1,10,75,24,30.06,2,290.05
Town02,1,14,75,24,41.18,3,229.05
Town02,1,10,19,82,65.1,2,102.8
Town02,1,14,19,82,100.0,4,94.05
Town02,1,10,65,6,8.05,0,11.7
Town02,1,14,65,6,100.0,1,75.65
Town02,1,10,71,29,100.0,1,53.5
Town02,1,14,71,29,100.0,1,52.15
Town02,1,10,59,16,4.15,1,13.4
Town02,1,14,59,16,93.88,5,128.3
Town02,1,10,6,66,34.88,2,170.7
Town02,1,14,6,66,60.7,3,37.4
Town02,1,10,83,56,8.15,0,182.05
Town02,1,14,83,56,9.86,1,182.05
Town02,1,10,69,71,44.79,3,39.85
Town02,1,14,69,71,38.41,1,134.3
Town02,1,10,82,28,100.0,1,74.45
Town02,1,14,82,28,100.0,1,74.3
Town02,1,10,8,17,17.07,0,15.0
Town02,1,14,8,17,3.0,0,141.05
Town02,1,10,19,12,100.0,2,117.05
Town02,1,14,19,12,100.0,2,115.95
Town02,1,10,39,18,6.03,1,91.3
Town02,1,14,39,18,96.26,3,100.35
Town02,1,10,51,8,96.91,1,55.25
Town02,1,14,51,8,100.0,1,57.1
Town02,1,10,24,36,30.36,1,28.55
Town02,1,14,24,36,30.36,1,28.65
Town02,1,10,64,73,87.38,1,46.1
Town02,1,14,64,73,100.0,2,48.0
Town02,2,10,66,19,25.92,1,35.6
Town02,2,14,66,19,18.16,1,24.9
Town02,2,10,6,71,33.96,2,37.15
Town02,2,14,6,71,32.23,2,37.45
Town02,2,10,66,28,15.32,1,25.1
Town02,2,14,66,28,7.29,1,13.05
Town02,2,10,46,32,40.98,1,158.05
Town02,2,14,46,32,39.66,1,24.75
Town02,2,10,25,59,28.52,0,25.35
Town02,2,14,25,59,27.6,0,23.7
Town02,2,10,32,9,27.09,1,32.6
Town02,2,14,32,9,42.5,2,59.7
Town02,2,10,43,72,2.72,0,184.15
Town02,2,14,43,72,3.07,0,160.35
Town02,2,10,54,14,0.0,0,0.05
